t x
-3.141592653589793116e+00 -1.224606353822377258e-16
-3.135303178807831603e+00 -6.289433316067838224e-03
-3.129013704025870091e+00 -1.257861783874111156e-02
-3.122724229243908578e+00 -1.886730478446710726e-02
-3.116434754461947065e+00 -2.515524538937582988e-02
-3.110145279679985553e+00 -3.144219091912055231e-02
-3.103855804898024040e+00 -3.772789267871708846e-02
-3.097566330116062083e+00 -4.401210202238198255e-02
-3.091276855334100571e+00 -5.029457036336647258e-02
-3.084987380552139058e+00 -5.657504918379260145e-02
-3.078697905770177545e+00 -6.285329004448216017e-02
-3.072408430988216033e+00 -6.912904459478472208e-02
-3.066118956206254520e+00 -7.540206458240174270e-02
-3.059829481424293007e+00 -8.167210186320675303e-02
-3.053540006642331495e+00 -8.793890841106132006e-02
-3.047250531860369982e+00 -9.420223632762629584e-02
-3.040961057078408469e+00 -1.004618378521679595e-01
-3.034671582296446957e+00 -1.067174653713588717e-01
-3.028382107514485444e+00 -1.129688714290727758e-01
-3.022092632732523931e+00 -1.192158087361732538e-01
-3.015803157950561975e+00 -1.254580301802963593e-01
-3.009513683168600462e+00 -1.316952888356238693e-01
-3.003224208386638949e+00 -1.379273379726538018e-01
-2.996934733604677437e+00 -1.441539310679584851e-01
-2.990645258822715924e+00 -1.503748218139368820e-01
-2.984355784040754411e+00 -1.565897641285578235e-01
-2.978066309258792899e+00 -1.627985121650944167e-01
-2.971776834476831386e+00 -1.690008203218491267e-01
-2.965487359694869873e+00 -1.751964432518690051e-01
-2.959197884912908361e+00 -1.813851358726510654e-01
-2.952908410130946848e+00 -1.875666533758370835e-01
-2.946618935348985335e+00 -1.937407512368975737e-01
-2.940329460567023823e+00 -1.999071852248044678e-01
-2.934039985785061866e+00 -2.060657114116928590e-01
-2.927750511003100353e+00 -2.122160861825081457e-01
-2.921461036221138841e+00 -2.183580662446456544e-01
-2.915171561439177328e+00 -2.244914086375727758e-01
-2.908882086657215815e+00 -2.306158707424403320e-01
-2.902592611875254303e+00 -2.367312102916798722e-01
-2.896303137093292790e+00 -2.428371853785872281e-01
-2.890013662311331277e+00 -2.489335544668916933e-01
-2.883724187529369765e+00 -2.550200764003104359e-01
-2.877434712747408252e+00 -2.610965104120882008e-01
-2.871145237965446739e+00 -2.671626161345212469e-01
-2.864855763183484783e+00 -2.732181536084661855e-01
-2.858566288401523714e+00 -2.792628832928299443e-01
-2.852276813619561757e+00 -2.852965660740500176e-01
-2.845987338837600245e+00 -2.913189632755474601e-01
-2.839697864055638732e+00 -2.973298366671724979e-01
-2.833408389273677219e+00 -3.033289484746268250e-01
-2.827118914491715707e+00 -3.093160613888690236e-01
-2.820829439709754194e+00 -3.152909385755025551e-01
-2.814539964927792681e+00 -3.212533436841437662e-01
-2.808250490145831169e+00 -3.272030408577716876e-01
-2.801961015363869656e+00 -3.331397947420575711e-01
-2.795671540581908143e+00 -3.390633704946751648e-01
-2.789382065799946631e+00 -3.449735337945904479e-01
-2.783092591017984674e+00 -3.508700508513308280e-01
-2.776803116236023605e+00 -3.567526884142315780e-01
-2.770513641454061649e+00 -3.626212137816671732e-01
-2.764224166672100136e+00 -3.684753948102501009e-01
-2.757934691890138623e+00 -3.743149999240190651e-01
-2.751645217108177111e+00 -3.801397981235968282e-01
-2.745355742326215598e+00 -3.859495589953288452e-01
-2.739066267544254085e+00 -3.917440527203974177e-01
-2.732776792762292573e+00 -3.975230500839130321e-01
-2.726487317980331060e+00 -4.032863224839812744e-01
-2.720197843198369547e+00 -4.090336419407458735e-01
-2.713908368416408035e+00 -4.147647811054069322e-01
-2.707618893634446522e+00 -4.204795132692142334e-01
-2.701329418852484565e+00 -4.261776123724355658e-01
-2.695039944070523497e+00 -4.318588530132972392e-01
-2.688750469288561540e+00 -4.375230104569045042e-01
-2.682460994506600027e+00 -4.431698606441262789e-01
-2.676171519724638515e+00 -4.487991802004623332e-01
-2.669882044942677002e+00 -4.544107464448775557e-01
-2.663592570160715489e+00 -4.600043373986110740e-01
-2.657303095378753977e+00 -4.655797317939571744e-01
-2.651013620596792464e+00 -4.711367090830179127e-01
-2.644724145814830951e+00 -4.766750494464274679e-01
-2.638434671032869439e+00 -4.821945338020476868e-01
-2.632145196250907926e+00 -4.876949438136344850e-01
-2.625855721468946413e+00 -4.931760618994742718e-01
-2.619566246686984456e+00 -4.986376712409917866e-01
-2.613276771905023388e+00 -5.040795557913244629e-01
-2.606987297123061431e+00 -5.095015002838734208e-01
-2.600697822341099918e+00 -5.149032902408128276e-01
-2.594408347559138406e+00 -5.202847119815791066e-01
-2.588118872777176893e+00 -5.256455526313208448e-01
-2.581829397995215380e+00 -5.309856001293203898e-01
-2.575539923213253868e+00 -5.363046432373824723e-01
-2.569250448431292355e+00 -5.416024715481900786e-01
-2.562960973649330843e+00 -5.468788754936273477e-01
-2.556671498867369330e+00 -5.521336463530701621e-01
-2.550382024085407817e+00 -5.573665762616420993e-01
-2.544092549303446305e+00 -5.625774582184369654e-01
-2.537803074521484348e+00 -5.677660860947080224e-01
-2.531513599739523279e+00 -5.729322546420198004e-01
-2.525224124957561322e+00 -5.780757595003709337e-01
-2.518934650175599810e+00 -5.831963972062734758e-01
-2.512645175393638297e+00 -5.882939652008052356e-01
-2.506355700611676784e+00 -5.933682618376204809e-01
-2.500066225829715272e+00 -5.984190863909268909e-01
-2.493776751047753759e+00 -6.034462390634262041e-01
-2.487487276265792246e+00 -6.084495209942171190e-01
-2.481197801483830734e+00 -6.134287342666617793e-01
-2.474908326701869221e+00 -6.183836819162152887e-01
-2.468618851919907708e+00 -6.233141679382165901e-01
-2.462329377137946196e+00 -6.282199972956421519e-01
-2.456039902355984239e+00 -6.331009759268214632e-01
-2.449750427574023171e+00 -6.379569107531117833e-01
-2.443460952792061214e+00 -6.427876096865394739e-01
-2.437171478010099701e+00 -6.475928816373941466e-01
-2.430882003228138188e+00 -6.523725365217910577e-01
-2.424592528446176676e+00 -6.571263852691886509e-01
-2.418303053664215163e+00 -6.618542398298680185e-01
-2.412013578882253650e+00 -6.665559131823720618e-01
-2.405724104100292138e+00 -6.712312193409026850e-01
-2.399434629318330625e+00 -6.758799733626790207e-01
-2.393145154536369112e+00 -6.805019913552523558e-01
-2.386855679754407156e+00 -6.850970904837810904e-01
-2.380566204972446087e+00 -6.896650889782618421e-01
-2.374276730190484130e+00 -6.942058061407228031e-01
-2.367987255408523062e+00 -6.987190623523672484e-01
-2.361697780626561105e+00 -7.032046790806840697e-01
-2.355408305844599592e+00 -7.076624788865044646e-01
-2.349118831062638080e+00 -7.120922854310255401e-01
-2.342829356280676567e+00 -7.164939234827832903e-01
-2.336539881498715054e+00 -7.208672189245850515e-01
-2.330250406716753542e+00 -7.252119987603973250e-01
-2.323960931934792029e+00 -7.295280911221884157e-01
-2.317671457152830516e+00 -7.338153252767276591e-01
-2.311381982370869004e+00 -7.380735316323389084e-01
-2.305092507588907047e+00 -7.423025417456095010e-01
-2.298803032806945978e+00 -7.465021883280519299e-01
-2.292513558024984022e+00 -7.506723052527245477e-01
-2.286224083243022953e+00 -7.548127275607987574e-01
-2.279934608461060996e+00 -7.589232914680890119e-01
-2.273645133679099484e+00 -7.630038343715274118e-01
-2.267355658897137971e+00 -7.670541948555987810e-01
-2.261066184115176458e+00 -7.710742126987247813e-01
-2.254776709333214946e+00 -7.750637288796016211e-01
-2.248487234551253433e+00 -7.790225855834911339e-01
-2.242197759769291920e+00 -7.829506262084631185e-01
-2.235908284987330408e+00 -7.868476953715899391e-01
