t x
-2.000000000000000000e+00 0.000000000000000000e+00
-1.995995995995996086e+00 4.016064257028112081e-03
-1.991991991991991950e+00 8.032128514056224161e-03
-1.987987987987988037e+00 1.204819277108433624e-02
-1.983983983983983901e+00 1.606425702811244832e-02
-1.979979979979979987e+00 2.008032128514056214e-02
-1.975975975975976073e+00 2.409638554216867248e-02
-1.971971971971971938e+00 2.811244979919678283e-02
-1.967967967967968024e+00 3.212851405622489664e-02
-1.963963963963963888e+00 3.614457831325301046e-02
-1.959959959959959974e+00 4.016064257028112428e-02
-1.955955955955956060e+00 4.417670682730923115e-02
-1.951951951951951925e+00 4.819277108433734497e-02
-1.947947947947948011e+00 5.220883534136545878e-02
-1.943943943943943875e+00 5.622489959839356566e-02
-1.939939939939939961e+00 6.024096385542167947e-02
-1.935935935935936048e+00 6.425702811244979329e-02
-1.931931931931931912e+00 6.827309236947790017e-02
-1.927927927927927998e+00 7.228915662650602092e-02
-1.923923923923923862e+00 7.630522088353412780e-02
-1.919919919919919948e+00 8.032128514056224855e-02
-1.915915915915916035e+00 8.433734939759035543e-02
-1.911911911911911899e+00 8.835341365461846230e-02
-1.907907907907907985e+00 9.236947791164658306e-02
-1.903903903903903849e+00 9.638554216867468993e-02
-1.899899899899899935e+00 1.004016064257027968e-01
-1.895895895895895800e+00 1.044176706827309176e-01
-1.891891891891891886e+00 1.084337349397590244e-01
-1.887887887887887972e+00 1.124497991967871313e-01
-1.883883883883883836e+00 1.164658634538152521e-01
-1.879879879879879923e+00 1.204819277108433589e-01
-1.875875875875875787e+00 1.244979919678714797e-01
-1.871871871871871873e+00 1.285140562248995866e-01
-1.867867867867867959e+00 1.325301204819276935e-01
-1.863863863863863823e+00 1.365461847389558003e-01
-1.859859859859859910e+00 1.405622489959839350e-01
-1.855855855855855774e+00 1.445783132530120418e-01
-1.851851851851851860e+00 1.485943775100401487e-01
-1.847847847847847724e+00 1.526104417670682556e-01
-1.843843843843843811e+00 1.566265060240963625e-01
-1.839839839839839897e+00 1.606425702811244971e-01
-1.835835835835835761e+00 1.646586345381526040e-01
-1.831831831831831847e+00 1.686746987951807109e-01
-1.827827827827827711e+00 1.726907630522088177e-01
-1.823823823823823798e+00 1.767068273092369246e-01
-1.819819819819819884e+00 1.807228915662650315e-01
-1.815815815815815748e+00 1.847389558232931661e-01
-1.811811811811811834e+00 1.887550200803212730e-01
-1.807807807807807698e+00 1.927710843373493799e-01
-1.803803803803803785e+00 1.967871485943774867e-01
-1.799799799799799871e+00 2.008032128514055936e-01
-1.795795795795795735e+00 2.048192771084337283e-01
-1.791791791791791821e+00 2.088353413654618351e-01
-1.787787787787787686e+00 2.128514056224899420e-01
-1.783783783783783772e+00 2.168674698795180489e-01
-1.779779779779779858e+00 2.208835341365461558e-01
-1.775775775775775722e+00 2.248995983935742626e-01
-1.771771771771771808e+00 2.289156626506023973e-01
-1.767767767767767673e+00 2.329317269076305041e-01
-1.763763763763763759e+00 2.369477911646586110e-01
-1.759759759759759845e+00 2.409638554216867179e-01
-1.755755755755755709e+00 2.449799196787148248e-01
-1.751751751751751796e+00 2.489959839357429594e-01
-1.747747747747747660e+00 2.530120481927710663e-01
-1.743743743743743746e+00 2.570281124497991732e-01
-1.739739739739739832e+00 2.610441767068272800e-01
-1.735735735735735696e+00 2.650602409638553869e-01
-1.731731731731731783e+00 2.690763052208834938e-01
-1.727727727727727647e+00 2.730923694779116007e-01
